SrcIP,DstIP,SrcPort,DstPort,Protocol,FlowDuration,TotPkts,TotBytes,AvgPktSize
131.253.33.254,172.27.49.232,443,63003,TCP,0.0,1,60,60.0
172.27.49.232,131.253.33.254,63003,443,TCP,0.0,1,54,54.0
172.27.49.232,104.18.32.47,63041,443,TCP,113.065809,148,115678,781.6081081081081
104.18.32.47,172.27.49.232,443,63041,TCP,112.880486,215,49457,230.03255813953487
172.27.49.232,172.64.144.52,55489,443,UDP,1.535091,90,12038,133.75555555555556
172.64.144.52,172.27.49.232,443,55489,UDP,1.529798,243,286850,1180.4526748971193
172.27.49.232,20.197.71.89,62784,443,TCP,0.0,1,55,55.0
20.197.71.89,172.27.49.232,443,62784,TCP,0.0,1,66,66.0
172.27.49.232,104.26.11.240,63027,443,TCP,0.00216,2,108,54.0
104.26.11.240,172.27.49.232,443,63027,TCP,0.0,1,60,60.0
172.27.49.232,162.159.200.1,51444,123,UDP,0.0,1,90,90.0
162.159.200.1,172.27.49.232,123,51444,UDP,0.0,1,90,90.0
172.27.49.232,192.168.32.1,57493,53,UDP,0.0,1,71,71.0
172.27.49.232,192.168.32.1,51609,53,UDP,0.0,1,71,71.0
192.168.32.1,172.27.49.232,53,57493,UDP,0.0,1,103,103.0
172.27.49.232,224.0.0.251,5353,5353,UDP,0.0,1,87,87.0
192.168.32.1,172.27.49.232,53,51609,UDP,0.0,1,132,132.0
172.27.49.232,239.255.255.250,58490,1900,UDP,0.0,1,167,167.0
104.81.138.10,172.27.49.232,443,62998,TCP,0.0,2,145,72.5
172.27.49.232,104.81.138.10,62998,443,TCP,0.0,1,54,54.0
13.107.18.254,172.27.49.232,443,63026,TCP,0.0,1,60,60.0
172.27.49.232,13.107.18.254,63026,443,TCP,0.0,1,54,54.0
150.171.22.254,172.27.49.232,443,63028,TCP,0.0,1,60,60.0
172.27.49.232,150.171.22.254,63028,443,TCP,0.0,1,54,54.0
204.79.197.222,172.27.49.232,443,63000,TCP,0.0,1,60,60.0
172.27.49.232,204.79.197.222,63000,443,TCP,0.0,1,54,54.0
150.171.31.254,172.27.49.232,443,63029,TCP,0.0,1,60,60.0
172.27.49.232,150.171.31.254,63029,443,TCP,0.0,1,54,54.0
172.27.49.232,4.190.204.134,63042,443,TCP,0.563075,9,845,93.88888888888889
172.27.49.232,192.168.32.1,52854,53,UDP,0.0,1,80,80.0
172.27.49.232,192.168.32.1,49944,53,UDP,0.0,1,80,80.0
192.168.32.1,172.27.49.232,53,49944,UDP,0.0,1,452,452.0
172.27.49.232,192.168.30.1,52854,53,UDP,0.0,1,80,80.0
192.168.32.1,172.27.49.232,53,52854,UDP,0.0,1,464,464.0
4.190.204.134,172.27.49.232,443,63042,TCP,0.447106,10,3774,377.4
20.50.73.11,172.27.49.232,443,63031,TCP,0.002009,2,120,60.0
172.27.49.232,20.50.73.11,63031,443,TCP,0.000253,2,108,54.0
172.27.49.232,192.168.32.1,58659,53,UDP,0.0,1,85,85.0
172.27.49.232,192.168.32.1,56731,53,UDP,0.0,1,85,85.0
172.27.49.232,192.168.32.1,61588,53,UDP,0.0,1,80,80.0
192.168.32.1,172.27.49.232,53,58659,UDP,0.0,1,139,139.0
192.168.32.1,172.27.49.232,53,56731,UDP,0.0,1,188,188.0
172.27.49.232,35.186.224.22,55453,443,UDP,0.219196,18,6506,361.44444444444446
192.168.32.1,172.27.49.232,53,61588,UDP,0.0,1,146,146.0
172.27.49.232,20.69.137.228,63043,443,TCP,18.069285,18,12175,676.3888888888889
35.186.224.22,172.27.49.232,443,55453,UDP,0.217836,16,4921,307.5625
20.69.137.228,172.27.49.232,443,63043,TCP,17.85949,30,13381,446.03333333333336
172.27.49.232,192.168.32.1,64515,53,UDP,0.0,1,74,74.0
192.168.32.1,172.27.49.232,53,64515,UDP,0.0,1,291,291.0
172.27.49.232,184.27.123.114,63045,443,TCP,0.661114,7,1100,157.14285714285714
172.27.49.232,184.27.123.114,63044,443,TCP,0.76507,7,1101,157.28571428571428
184.27.123.114,172.27.49.232,443,63045,TCP,0.598921,12,10114,842.8333333333334
184.27.123.114,172.27.49.232,443,63044,TCP,0.696331,13,11202,861.6923076923077
172.27.49.232,162.159.192.1,63046,443,TCP,2.49037,10,55645,5564.5
162.159.192.1,172.27.49.232,443,63046,TCP,2.061678,50,8068,161.36
172.27.49.232,216.239.32.223,62974,443,TCP,19.212079,9,703,78.11111111111111
172.27.49.232,192.168.32.1,62619,53,UDP,0.0,1,79,79.0
172.27.49.232,192.168.30.1,62619,53,UDP,0.0,1,79,79.0
192.168.32.1,172.27.49.232,53,62619,UDP,0.0,1,143,143.0
172.27.49.232,216.239.36.223,63048,443,TCP,0.44451,7,10630,1518.5714285714287
172.27.49.232,216.239.36.223,63049,443,TCP,0.45943,9,1431,159.0
216.239.36.223,172.27.49.232,443,63048,TCP,0.359778,13,1526,117.38461538461539
216.239.36.223,172.27.49.232,443,63049,TCP,0.369149,11,6017,547.0
172.27.49.232,192.168.32.1,64502,53,UDP,0.0,1,79,79.0
172.27.49.232,192.168.32.1,63011,53,UDP,0.0,1,79,79.0
192.168.32.1,172.27.49.232,53,64502,UDP,0.0,1,249,249.0
172.27.49.232,13.107.246.59,63050,443,TCP,29.899371,27,4945,183.14814814814815
192.168.32.1,172.27.49.232,53,63011,UDP,0.0,1,233,233.0
13.107.246.59,172.27.49.232,443,63050,TCP,29.851781,50,55039,1100.78
172.27.49.232,192.168.32.1,64357,53,UDP,0.0,1,80,80.0
172.27.49.232,192.168.32.1,52514,53,UDP,0.0,1,80,80.0
172.27.49.232,192.168.32.1,57360,53,UDP,0.0,1,74,74.0
192.168.32.1,172.27.49.232,53,57360,UDP,0.0,1,136,136.0
192.168.32.1,172.27.49.232,53,64357,UDP,0.0,1,236,236.0
172.27.49.232,54.188.20.194,63051,443,TCP,0.694824,7,2214,316.2857142857143
192.168.32.1,172.27.49.232,53,52514,UDP,0.0,1,140,140.0
54.188.20.194,172.27.49.232,443,63051,TCP,0.453067,9,3090,343.3333333333333
172.27.49.232,192.168.32.1,58731,53,UDP,0.0,1,75,75.0
172.27.49.232,192.168.32.1,54653,53,UDP,0.0,1,75,75.0
192.168.32.1,172.27.49.232,53,58731,UDP,0.0,1,91,91.0
192.168.32.1,172.27.49.232,53,54653,UDP,0.0,1,132,132.0
172.27.49.232,172.217.194.94,63894,443,UDP,25.157276,10,3818,381.8
172.217.194.94,172.27.49.232,443,63894,UDP,25.183995,12,5157,429.75
172.27.49.232,62.67.238.208,62725,443,TCP,0.0,1,84,84.0
62.67.238.208,172.27.49.232,443,62725,TCP,0.0,1,60,60.0
172.27.49.232,162.159.200.1,62882,123,UDP,0.0,1,90,90.0
162.159.200.1,172.27.49.232,123,62882,UDP,0.0,1,90,90.0
40.119.213.159,172.27.49.232,443,63025,TCP,0.002237,3,245,81.66666666666667
172.27.49.232,40.119.213.159,63025,443,TCP,0.000105,2,108,54.0
172.27.49.232,35.186.224.22,55559,443,UDP,17.964346,22,5634,256.09090909090907
35.186.224.22,172.27.49.232,443,55559,UDP,17.985849,21,5619,267.57142857142856
172.27.49.232,239.255.255.250,55561,1900,UDP,3.030598,4,848,212.0
172.27.49.232,192.168.32.1,60066,53,UDP,0.0,1,83,83.0
172.27.49.232,192.168.32.1,54040,53,UDP,0.0,1,83,83.0
192.168.32.1,172.27.49.232,53,60066,UDP,0.0,1,132,132.0
192.168.32.1,172.27.49.232,53,54040,UDP,0.0,1,181,181.0
172.27.49.232,35.186.224.24,49890,443,UDP,9.603777,12,8393,699.4166666666666
35.186.224.24,172.27.49.232,443,49890,UDP,9.523772,10,4216,421.6
172.27.49.232,172.64.155.209,63052,443,TCP,1.174264,11,9231,839.1818181818181
172.64.155.209,172.27.49.232,443,63052,TCP,0.937653,15,3483,232.2
